,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706064.4961,0,8,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706039.1879,0,121,0,1,0,0,106,90,0,0,16,0,0,0,0,0,0,0,0,0
SRR1706129.5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,141
SRR1706034.3854,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706049.2890,9,1,0,17,0,0,0,0,0,14,43,7,3,8,0,0,0,0,0,0
SRR1706129.3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
SRR1706039.8074,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706039.8059,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR1706044.2712,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706119.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,0
SRR1706049.7243,0,0,0,10,0,21,0,0,2,1,11,52,0,0,0,0,0,0,0,0
SRR1706039.8307,91,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706034.323,13,86,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SRR1706094.1348,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
SRR1706089.1156,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
SRR1706064.3951,0,0,0,0,0,0,38,31,0,0,0,2,0,0,0,0,0,0,0,0
SRR1706049.2848,0,0,24,85,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0
SRR1706049.3567,0,0,0,46,0,19,0,0,7,23,2,2,0,0,0,0,0,0,0,0
SRR1706089.1722,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0
SRR1706124.4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,17
SRR1706064.2125,0,1,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706114.3679,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,54,0,11,6
SRR1706034.4546,42,0,7,0,0,18,0,0,32,6,0,35,0,0,0,0,0,0,0,0
SRR1706074.4090,0,0,39,4,12,10,0,0,87,8,203,17,19,0,3,26,0,0,0,13
SRR1706049.5127,0,0,0,63,0,1,0,0,1,0,1,11,0,0,0,0,0,0,0,0
SRR1706034.3393,119,0,0,0,0,0,0,0,0,8,10,0,5,0,0,0,0,0,0,0
SRR1706084.7860,0,0,0,5,0,0,0,0,0,8,49,13,0,15,6,0,0,0,0,0
SRR1706084.7922,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
SRR1706084.1949,1,1,0,3,0,5,4,1,0,21,42,0,0,0,1,0,0,0,0,0
SRR1706124.1209,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,8,33,10,24,21
SRR1706069.868,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706084.1886,0,0,0,0,4,0,0,0,0,6,24,0,4,0,32,1,0,0,0,0
SRR1706084.9478,0,0,0,0,7,0,0,0,0,0,87,0,6,20,7,3,0,0,0,0
SRR1706104.703,0,0,0,0,0,0,0,0,0,0,0,0,0,86,46,26,3,9,0,0
SRR1706079.1163,13,18,0,13,10,21,0,0,6,115,7,13,2,0,25,3,0,0,0,0
SRR1706044.1137,0,0,22,5,0,12,0,0,0,0,0,0,0,0,0,12,2,4,0,3
SRR1706119.1912,0,0,12,0,7,0,0,0,0,0,5,0,0,7,0,8,3,16,0,0
