,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706081.18028,0,0,0,0,1,0,0,0,1,159,0,0,1,12,5,2,0,0,0,0
SRR1706076.28725,0,0,10,56,0,1,5,0,6,12,24,49,0,0,0,0,1,1,4,37
SRR1706051.29867,0,0,0,137,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0
SRR1706096.42227,0,0,0,0,0,0,0,0,0,2,4,5,151,43,0,0,0,0,0,0
SRR1706131.41989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
SRR1706096.45046,0,0,0,86,0,24,28,0,0,100,16,0,14,42,0,87,21,7,22,71
SRR1706066.88090,0,2,0,13,0,0,206,45,0,1,0,0,0,0,1,0,0,0,0,0
SRR1706106.61359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,36,0,0,0,6
SRR1706131.83053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,177
SRR1706131.73342,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,155
SRR1706046.59923,0,0,188,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
SRR1706106.54632,0,0,0,0,0,0,0,0,4,0,0,0,0,4,93,29,0,0,0,0
SRR1706101.26315,0,0,20,72,0,4,0,0,0,12,0,15,0,25,12,41,0,0,25,94
SRR1706116.70809,0,0,32,7,0,4,2,4,0,0,0,4,0,0,0,24,168,22,57,139
SRR1706071.95044,0,0,0,0,0,0,2,108,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706051.81567,24,0,0,91,0,0,0,0,4,95,1,5,0,0,1,0,0,0,0,0
SRR1706046.27100,0,0,35,0,0,0,0,0,0,7,0,0,28,21,109,7,0,0,0,0
SRR1706041.39203,40,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706051.36000,3,0,9,35,32,40,0,0,66,27,5,41,13,9,17,23,0,10,0,0
SRR1706111.30361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0,0,58
SRR1706106.11536,0,0,7,0,0,0,1,0,4,2,21,43,30,3,306,33,13,0,19,141
SRR1706106.28091,0,0,0,0,0,0,0,0,0,37,10,0,1,7,1,0,0,0,0,57
SRR1706046.29545,15,0,31,0,8,0,0,0,1,3,9,6,33,34,2,0,0,0,0,0
SRR1706126.26236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,62,60
SRR1706106.18057,0,0,15,17,0,9,14,15,0,28,0,0,0,0,43,48,0,0,3,5
SRR1706061.40813,0,0,15,0,0,47,0,10,7,0,1,8,0,0,0,2,6,4,0,0
SRR1706111.81506,0,0,0,0,0,0,0,0,0,34,0,0,0,0,4,379,0,0,0,0
