,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706040.18408,0,151,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0
SRR1706035.2723,148,0,0,0,0,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0
SRR1706060.2819,0,0,25,4,0,103,0,6,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706040.16980,0,269,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SRR1706090.6799,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
SRR1706035.3997,84,0,0,1,3,27,6,10,24,0,11,26,0,0,0,1,0,0,7,1
SRR1706075.11559,0,0,0,0,0,24,0,0,87,0,0,0,0,0,0,4,0,0,0,0
SRR1706120.11284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,141,0,0
SRR1706050.7183,0,0,0,6,2,11,0,0,116,0,0,0,0,0,0,0,0,0,0,0
SRR1706040.17051,3,139,0,0,0,0,5,0,0,0,3,8,0,2,0,0,0,0,0,0
SRR1706075.11393,0,0,0,0,4,0,0,0,10,9,1,85,1,1,23,1,0,0,0,0
SRR1706050.10559,0,0,7,26,0,4,0,0,48,0,0,0,0,0,1,0,0,0,0,0
SRR1706105.47071,0,0,0,37,36,0,0,0,0,18,56,36,6,0,171,7,0,0,0,0
SRR1706040.13616,0,101,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SRR1706060.6308,0,0,2,9,1,56,0,0,0,8,6,30,1,2,6,0,0,0,0,0
SRR1706045.5709,0,0,13,0,0,0,0,0,0,0,30,0,48,1,32,2,0,0,0,0
SRR1706105.17407,0,1,0,0,28,0,0,0,1,91,2,0,8,4,55,0,0,0,0,0
SRR1706050.15938,11,0,0,193,0,16,0,47,77,0,12,2,0,0,10,25,0,0,0,0
SRR1706080.16542,0,0,0,1,10,0,4,26,16,132,12,0,3,8,39,59,1,0,0,0
SRR1706090.4911,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0
SRR1706075.23276,0,0,15,5,0,0,0,0,89,0,0,5,0,0,0,0,0,0,0,0
SRR1706070.8104,0,54,0,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0
SRR1706120.10363,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,112,0,0
SRR1706105.23410,0,0,0,0,0,0,0,0,17,0,0,0,0,0,89,8,0,0,0,0
SRR1706090.8080,0,0,0,0,0,16,0,0,10,0,0,170,0,0,0,0,0,0,0,0
SRR1706070.17988,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706055.4623,0,0,0,6,52,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0
SRR1706070.2608,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706100.3458,0,0,0,0,0,0,3,0,0,0,0,0,0,19,0,4,4,54,1,5
SRR1706130.3462,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,0,0,0,2,60
SRR1706040.12487,2,48,8,3,0,3,2,0,14,2,2,3,0,0,3,1,1,20,0,0
SRR1706055.13253,0,0,0,6,72,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SRR1706040.16818,0,84,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SRR1706055.8069,0,0,6,6,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.7794,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706065.6682,0,0,0,0,0,0,34,0,0,0,0,0,0,3,0,0,58,12,0,0
SRR1706045.15429,0,0,73,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.8718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,2,0,0,0,0
SRR1706115.1388,0,0,3,27,2,14,34,0,0,0,0,1,0,0,1,1,42,0,20,0
SRR1706115.1146,0,0,11,4,0,49,5,0,3,2,0,2,1,0,3,0,10,9,7,0
SRR1706070.2486,0,0,0,0,0,0,2,33,0,0,0,96,0,0,0,0,0,0,0,0
SRR1706070.6691,0,0,0,0,0,0,7,133,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706115.652,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,59,0,0,2
SRR1706095.4006,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0
SRR1706070.7810,0,0,0,0,2,21,2,67,72,0,0,0,0,9,7,7,3,0,0,4
SRR1706060.17570,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
