Group,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Otu231,0,0,0,0,0,0,0,0,0,0
Otu232,0,0,0,0,0,0,2,0,0,0
Otu233,0,0,0,0,0,0,0,0,0,0
Otu234,0,0,0,0,0,0,0,0,0,0
Otu235,0,0,0,0,0,0,0,0,2,0
Otu236,0,0,0,0,0,0,0,0,1,0
Otu237,0,0,0,0,0,0,0,0,0,0
Otu238,0,0,0,0,0,0,0,0,0,0
Otu239,0,0,0,15,0,0,0,0,0,0
Otu240,0,0,1,1,0,0,0,0,0,0
Otu241,0,0,1,0,0,0,0,0,0,0
Otu242,0,1,0,0,0,0,0,0,0,0
Otu243,0,8,0,0,0,0,0,0,0,0
Otu244,0,0,0,0,0,0,0,4,0,0
Otu245,0,0,0,0,0,0,0,1,0,0
Otu246,0,0,1,0,0,0,0,0,0,0
Otu247,0,0,0,0,0,0,0,0,0,2
Otu248,0,1,0,0,0,0,0,0,0,0
Otu249,0,1,0,0,0,0,0,0,0,0
Otu250,0,1,0,0,0,0,0,0,0,0
Otu251,0,0,0,0,0,0,0,0,0,0
Otu252,0,0,0,2,0,0,0,0,0,0
Otu253,0,0,0,3,0,0,0,0,0,0
Otu254,0,0,0,1,0,0,0,0,0,0
Otu255,0,0,0,1,0,0,0,0,0,0
Otu256,0,0,0,0,0,0,0,0,0,0
Otu257,0,0,0,0,0,0,0,0,0,0
Otu258,0,0,0,0,0,0,0,0,0,0
Otu259,0,0,0,0,0,0,0,0,1,0
Otu260,0,0,1,0,0,0,0,0,0,0
Otu261,0,0,1,0,0,0,0,0,0,0
Otu262,0,0,0,0,0,0,1,0,0,0
Otu263,0,0,0,0,0,0,0,1,0,0
Otu264,0,0,0,0,0,0,0,0,0,0
Otu265,0,8,2,0,0,0,0,0,0,0
Otu266,0,0,0,0,0,2,0,0,0,0
Otu267,0,0,0,0,0,1,3,1,1,1
Otu268,0,0,0,0,0,0,0,0,0,2
Otu269,0,1,0,0,2,0,1,0,0,0
Otu270,0,0,0,0,0,0,0,0,3,0
Otu271,0,0,0,1,0,0,0,0,0,0
Otu272,0,0,0,0,0,0,0,0,1,0
Otu273,0,0,0,0,0,0,0,0,0,0
Otu274,0,0,0,0,0,0,0,0,0,0
Otu275,0,0,0,0,0,0,0,0,0,0
Otu276,0,0,0,0,0,0,1,0,0,0
Otu277,0,0,0,0,0,0,0,0,0,0
Otu278,0,0,0,0,0,0,1,0,0,0
Otu279,0,0,0,0,0,0,0,0,0,0
Otu280,0,0,0,0,0,0,0,0,1,0
Otu281,0,0,0,0,0,0,0,0,0,0
Otu282,0,0,0,0,0,0,0,0,0,0
Otu283,0,0,0,0,0,0,0,0,1,1
Otu284,0,0,0,0,0,0,0,0,0,1
Otu285,0,0,0,0,0,0,0,0,0,0
Otu286,0,2,2,0,0,1,0,0,1,1
Otu287,0,0,0,0,0,0,0,0,0,0
Otu288,0,0,0,0,0,0,1,0,7,0
Otu289,0,0,0,0,0,0,0,0,0,0
Otu290,0,0,1,0,0,1,0,0,0,0
Otu291,0,0,0,0,0,0,0,0,0,0
Otu292,0,0,0,0,0,0,0,0,0,0
Otu293,0,0,0,0,0,0,0,0,0,0
Otu294,0,0,0,0,0,0,0,0,1,0
Otu295,0,0,0,0,0,0,1,0,0,0
Otu296,0,0,0,0,0,0,2,0,0,0
Otu297,0,0,0,0,0,0,0,0,1,0
Otu298,0,0,0,0,0,0,1,0,0,0
Otu299,0,0,0,0,0,0,0,0,0,1
Otu300,0,0,0,0,0,0,1,0,0,0
Otu301,0,0,0,0,0,0,0,0,0,0
Otu302,0,0,0,0,0,0,0,0,0,0
Otu303,0,0,0,0,0,0,1,0,1,1
Otu304,0,0,0,0,0,0,0,0,0,3
Otu305,0,0,0,0,0,0,0,0,1,0
Otu306,0,0,0,0,0,0,0,0,0,0
Otu307,0,0,0,0,0,0,0,0,0,0
Otu308,0,0,0,0,0,1,0,0,0,0
Otu309,0,0,0,0,0,0,0,0,0,0
Otu310,0,0,0,0,0,0,0,0,2,0
Otu311,0,0,0,0,0,0,0,0,2,1
Otu312,0,0,0,0,0,0,0,0,4,0
Otu313,0,0,0,0,0,0,0,0,0,0
Otu314,0,0,1,0,0,0,0,2,0,0
Otu315,0,0,1,0,0,0,0,0,0,0
Otu316,0,0,0,0,0,2,0,0,0,0
Otu317,0,0,1,0,0,0,0,0,0,0
Otu318,0,0,0,0,0,0,0,0,1,0
Otu319,0,0,0,0,0,0,0,0,1,0
Otu320,0,0,2,0,0,0,0,0,0,0
Otu321,0,0,0,0,0,2,1,1,0,0
Otu322,0,0,3,0,0,0,0,0,0,0
Otu323,0,0,0,0,0,0,0,0,0,0
Otu324,0,0,0,0,0,0,0,1,4,1
Otu325,0,0,0,0,0,0,0,0,0,0
Otu326,0,0,1,0,0,0,0,0,0,0
Otu327,0,0,0,0,0,0,0,0,1,0
