,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706113.33945,13,16,76,34,6,6,12,7,46,32,54,34,13,18,10,4,7,14,2,3
SRR1706063.7941,0,18,4,0,0,0,84,3,0,24,9,3,0,0,6,0,10,0,0,10
SRR1706073.42642,0,22,4,0,0,13,44,34,35,35,16,8,1,0,1,0,24,0,30,8
SRR1706123.28195,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,21,0,43,1
SRR1706063.250,0,0,0,0,0,0,63,6,2,16,12,0,0,0,0,0,0,0,0,0
SRR1706063.31232,2,19,7,0,0,17,100,51,58,49,35,15,1,1,1,3,45,26,50,11
SRR1706063.11233,0,0,0,0,0,0,81,7,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706108.1483,0,0,21,0,0,0,2,6,0,3,1,0,0,0,0,3,9,20,7,0
SRR1706058.2205,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706068.15605,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,45,2,8,4
SRR1706058.18986,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,9,0,24,0,0
SRR1706068.6071,0,0,0,0,0,0,15,94,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706063.22994,0,0,0,0,0,0,96,0,96,0,0,0,0,0,0,0,0,0,0,0
SRR1706073.6698,0,0,33,0,0,0,0,17,8,0,0,10,0,3,0,0,40,0,2,2
SRR1706078.36890,0,49,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,2,0,0
SRR1706078.45060,0,0,0,0,0,0,0,0,0,68,34,0,0,0,0,0,0,0,0,0
SRR1706113.39339,0,0,46,12,2,5,7,5,22,1,8,4,2,0,1,2,42,15,1,0
SRR1706083.10690,0,1,4,2,0,10,0,0,21,8,55,36,1,0,1,1,7,7,1,0
SRR1706058.24772,1,0,108,140,11,54,0,0,37,24,70,2,3,1,12,5,0,27,4,1
SRR1706063.22304,0,0,6,0,0,0,151,0,3,0,3,0,0,0,1,0,0,0,0,0
SRR1706113.2174,0,12,28,0,3,15,4,6,22,16,4,1,3,2,4,1,39,12,19,11
SRR1706083.48226,0,0,2,0,0,0,0,0,18,23,42,0,6,5,3,0,0,2,4,3
SRR1706043.52396,1,0,34,0,4,0,10,0,26,9,7,0,1,3,0,0,0,0,0,0
SRR1706083.13689,0,0,0,0,0,0,30,6,0,2,92,6,0,0,1,0,0,0,6,1
SRR1706063.32078,3,0,0,17,0,0,70,2,33,0,0,0,0,0,0,0,0,0,0,0
SRR1706113.10788,5,0,8,0,0,0,4,0,0,0,0,4,0,13,2,0,55,4,13,9
SRR1706068.4243,0,15,15,0,2,11,7,9,10,20,49,1,0,0,1,4,0,10,2,0
SRR1706078.1633,2,141,24,10,6,0,15,16,26,102,31,9,1,24,5,0,0,0,19,0
SRR1706083.38329,0,0,0,0,0,0,0,0,0,0,61,4,0,0,8,0,0,0,0,0
SRR1706073.38376,0,0,12,4,1,29,40,23,62,0,8,12,1,0,2,2,0,13,15,16
