,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1720798.4866,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720797.3407,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.4877,0,0,0,13,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.3188,0,0,3,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.1153,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.2357,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,0,0,0,3
SRR1720795.6246,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR1720795.6544,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.2748,0,0,10,13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR1720795.3124,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.3129,0,0,32,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.7951,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720807.2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
SRR1720796.4754,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.4969,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4616,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SRR1720799.479,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0
SRR1720796.5296,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.2508,0,0,67,38,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0
SRR1720808.1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
SRR1720809.4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
SRR1720795.3091,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
SRR1720809.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
SRR1720793.7676,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.2886,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.5609,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.2982,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720803.3699,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0
SRR1720795.2260,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720801.1937,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.6268,0,0,72,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.5228,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.4066,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,2,7,0,23
SRR1720795.5304,0,0,12,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.2731,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SRR1720810.4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
SRR1720811.3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33
SRR1720795.1975,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720801.1711,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
SRR1720803.2432,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0
SRR1720811.3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0
SRR1720795.4222,0,0,25,4,0,0,0,5,3,0,14,0,0,0,0,0,0,0,0,0
SRR1720796.6901,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.3452,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.2959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
SRR1720799.1633,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4856,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.4728,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.7088,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.4747,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SRR1720797.355,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.6650,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.2588,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4753,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720809.4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
SRR1720796.1828,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.3383,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.655,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.888,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.5020,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.3359,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,6
SRR1720799.1869,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.1750,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.6081,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
SRR1720795.3789,0,0,17,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
SRR1720795.5336,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0
SRR1720810.4468,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,5,22,0
SRR1720804.598,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
SRR1720809.2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
SRR1720806.4234,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
SRR1720802.1861,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
SRR1720812.1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,11
SRR1720801.4063,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.1459,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0
SRR1720794.4461,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
SRR1720799.3552,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.2697,28,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.1530,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR1720796.2121,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
