OTU_id	Plot03-H	CM30c39-A	CM30c-P	Plot06-I	CM30c46-O	CM30b58-I	CM30c44-C	Plot03-N	Plot04-A	LB5-I	CM30c30-L	CM30c28-P	CM30c60-B	CM30b51-B	CM30c46-D	Plot01-B	CM30c-O	CM30d12-H	Plot08-O	CM30c37-E	CM30c35-D	Plot01-L	Plot05-N	Plot07-M	CM30d12-L	CM30c53-B	CM31a5-B	CM30c53-I	CM30c37-L	CM30c30-N	CM30b60-M	LB5-A	CM30b51-M	CM30c39-E	LB1-A	CM30b58-C	CM30d3-D	CM30d3-L	CM30c28-N	Plot04-N	Plot02-M	LB1-E	CM30b60-E	CM30c62-D	CM30c60-A	CM30c62-M	Plot07-N	Plot06-N	Plot08-I	CM30c51-H	CM31a5-A	CM30c51-I	Plot05-I	CM30c44-B	CM30c35-B	Plot02-C
M00598_54_000000000-ABCWN_1_1101_15474_3236|gene_FolCO1	1	0	5	752	0	145	0	165	1	0	0	2	64	16	12	0	0	4	0	48	79	0	19	1	26	0	472	0	104	0	2	0	0	3	0	149	0	1	0	39	11	1	0	115	6	126	0	1295	3	0	566	46	349	0	366	0
M00598_54_000000000-ABCWN_1_1101_24785_17635|gene_FolCO1	7	57	4	24	10	17	104	491	0	126	3	2	13	2	17	0	0	211	258	104	25	0	0	77	290	0	4	0	72	0	200	35	139	270	0	1335	43	74	0	134	0	106	62	3	1	0	10	3	137	0	59	41	3	0	0	1
M00598_54_000000000-ABCWN_1_1101_16982_1268|gene_FolCO1	0	0	0	0	2188	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_14023_24506|gene_FolCO1	0	0	0	0	0	0	0	0	0	15	216	0	0	0	1801	0	0	100	0	0	0	0	0	0	0	0	0	9	0	392	0	540	0	0	613	3	0	0	34	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_10698_4863|gene_FolCO1	0	76	0	0	0	3	652	0	278	0	0	0	0	42	0	0	243	0	0	1	0	0	0	43	0	0	0	0	10	0	109	0	0	0	0	0	1443	0	0	6	0	0	606	0	0	0	26	5	0	0	0	0	0	728	0	0
M00598_54_000000000-ABCWN_1_1101_26898_5965|gene_FolCO1	0	0	0	0	0	0	0	0	0	22	166	0	0	0	1283	0	0	29	0	0	0	0	0	0	0	0	0	0	0	57	0	78	0	0	202	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_23665_9432|gene_FolCO1	6	0	198	4	0	2	0	664	0	0	0	21	18	0	0	1	0	12	21	0	11	1	0	0	13	8	142	8	0	0	0	0	1	123	0	91	0	0	27	0	265	0	1	368	6	370	0	3	33	0	376	16	24	0	9	0
M00598_54_000000000-ABCWN_1_1101_21948_3589|gene_FolCO1	0	734	0	0	0	2	609	0	0	0	0	0	0	0	0	343	68	0	0	3	0	224	0	100	0	1	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	709	0	4	0	48	0	0	0	0	0	1	222	0	0
M00598_54_000000000-ABCWN_1_1101_22881_7115|gene_FolCO1	0	4	0	0	18	0	0	0	0	1377	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1106_16611_3840|gene_FolCO1	105	6	7	90	51	7	0	19	0	0	0	0	8	0	1	0	1	2	95	51	0	0	7	0	31	0	234	0	5	0	4	0	2	926	0	2	0	0	0	0	4	0	0	0	463	0	0	39	6	22	37	111	7	3	0	0
M00598_54_000000000-ABCWN_1_1109_5809_7653|gene_FolCO1	0	2	11	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	19	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	2190	0	0	0	0	0	6	5	0	251	0	0	10	10	2	0	0	0
M00598_54_000000000-ABCWN_1_1106_23719_5991|gene_FolCO1	132	47	89	267	0	146	0	0	0	0	0	0	15	0	1	0	0	32	523	108	38	0	0	269	96	0	72	0	69	0	62	0	0	251	11	0	37	34	0	0	2	150	72	0	41	0	566	57	0	44	0	22	3	0	19	0
M00598_54_000000000-ABCWN_1_1104_24492_4399|gene_FolCO1	76	0	235	16	0	50	0	5	0	0	0	0	208	0	0	1	0	0	502	107	0	2	0	35	14	0	16	0	10	0	46	0	1	82	0	0	0	0	0	0	162	0	19	235	646	0	120	18	48	0	0	158	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_19024_2765|gene_FolCO1	17	0	16	40	30	36	0	77	0	51	0	0	5	0	2	0	0	36	216	11	45	0	5	6	48	0	328	0	0	10	0	0	0	453	2	135	8	160	0	10	0	21	0	108	87	122	0	24	81	0	21	81	228	0	18	0
M00598_54_000000000-ABCWN_1_1102_13173_23590|gene_FolCO1	0	0	26	8	0	0	0	2	0	26	2	18	29	0	171	0	0	6	13	0	4	0	0	0	99	0	546	21	4	0	0	10	52	1	47	359	0	47	10	17	3	88	0	14	0	0	0	1	3	0	318	0	18	0	8	0
M00598_54_000000000-ABCWN_1_1109_27118_7360|gene_FolCO1	0	0	27	0	8	0	0	352	0	26	0	0	0	0	2	0	0	0	33	0	0	0	0	0	0	1	293	0	0	0	0	0	0	200	0	175	0	1	9	0	59	0	1	129	0	25	0	0	71	0	389	0	37	0	7	1
M00598_54_000000000-ABCWN_1_1101_9377_9736|gene_FolCO1	0	0	58	0	0	0	0	20	0	186	0	166	190	0	64	0	0	8	0	1	0	0	0	0	3	201	114	314	0	17	0	0	64	0	36	155	0	13	63	3	0	22	0	0	0	0	0	0	28	0	82	0	6	0	0	0
M00598_54_000000000-ABCWN_1_1103_10025_17498|gene_FolCO1	14	70	20	83	47	101	8	2	0	81	0	0	0	5	11	0	0	21	69	65	21	1	33	13	112	0	415	0	63	23	12	0	0	456	1	131	164	192	0	9	12	49	51	7	3	1	34	252	57	43	20	5	94	0	45	0
M00598_54_000000000-ABCWN_1_1103_22262_19187|gene_FolCO1	0	0	0	0	0	0	1	0	0	6	48	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	58	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_16755_6913|gene_FolCO1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17	0	0	0	0	0	1	0	2	0	1676	0	0	0	0	3	0	0	0	23	0	0	0
M00598_54_000000000-ABCWN_1_1101_20735_4393|gene_FolCO1	0	0	0	0	0	0	0	0	0	0	0	1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_26003_4516|gene_FolCO1	0	350	0	0	0	10	0	0	0	330	0	0	0	0	0	0	0	0	0	22	0	0	0	1	8	0	0	0	2	0	0	0	0	444	12	0	744	0	0	0	0	249	91	0	0	0	25	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_22726_10908|gene_FolCO1	0	0	12	4	7	28	0	49	0	58	3	70	63	0	62	0	0	63	5	0	19	0	0	0	7	78	286	63	0	4	1	45	139	3	28	81	1	0	69	41	10	12	0	13	0	21	0	0	1	0	308	2	9	0	2	0
M00598_54_000000000-ABCWN_1_1103_25746_19446|gene_FolCO1	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	24	0	0	0	0	0	0	0	0	0	32	0
M00598_54_000000000-ABCWN_1_1102_17501_18462|gene_FolCO1	0	0	0	0	0	0	0	0	0	53	193	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	318	0	0	438	0	0	24	0	3	0	74	0	0	0	0	0	0	8	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1101_13319_3935|gene_FolCO1	0	0	0	0	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
