CM30c28	Plot05	CM30c46	CM30b58	CM30c60	LB5	CM31a5	CM30c	CM30d3	CM30c44	CM30c39	CM30c30	CM30c53	CM30b60	CM30b51	CM30d12	Plot03	Plot08	Plot06	Plot02	Plot01	CM30c35	Plot04	CM30c37	CM30c62	LB1	Plot07	CM30c51
M00598_54_000000000-ABCWN_1_1101_13184_3738|gene_26S	0	1571	0	4	9	4	33	6	1	0	0	17	1	1	0	0	1	100	48	0	2	0	0	8	22	4	3	12
M00598_54_000000000-ABCWN_1_1101_18891_11042|gene_26S	9	9	313	1196	43	2	30	185	240	402	13	0	2	42	22	65	34	1	14	364	12	3	4	631	53	4	279	17
M00598_54_000000000-ABCWN_1_1101_16467_3735|gene_26S	992	0	0	0	0	106	1	0	0	0	0	148	231	0	29	52	0	49	0	0	0	2	0	1	0	37	0	0
M00598_54_000000000-ABCWN_1_1114_23976_18362|gene_26S	0	0	0	1	0	2936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_25759_12906|gene_26S	365	57	129	76	143	103	446	523	707	118	300	116	275	110	132	152	61	107	123	288	3	145	229	310	565	298	134	324
M00598_54_000000000-ABCWN_1_1102_19420_10236|gene_26S	0	0	0	50	0	0	0	0	0	1	328	0	0	1810	0	0	0	0	21	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_24430_5622|gene_26S	0	0	503	0	0	6	0	412	42	123	58	2	10	3	169	39	0	57	0	0	31	0	1	1709	146	98	266	79
M00598_54_000000000-ABCWN_1_1102_21695_18490|gene_26S	189	212	23	14	58	0	168	393	27	235	1196	52	9	363	0	424	81	1207	1	107	4	0	12	14	174	38	363	111
M00598_54_000000000-ABCWN_1_1101_23098_2324|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_23771_14640|gene_26S	0	83	1155	695	16	26	26	216	0	91	3	121	10	0	2	3	85	8	25	57	116	131	732	24	150	1	3	13
M00598_54_000000000-ABCWN_1_1101_23576_4490|gene_26S	0	0	0	0	0	0	0	0	0	0	0	162	0	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_22580_13938|gene_26S	74	16	4	76	2	83	454	173	180	7	134	26	23	131	28	19	53	58	38	146	119	120	26	111	99	74	3	76
M00598_54_000000000-ABCWN_1_1101_28592_14340|gene_26S	0	10	0	0	0	0	0	0	146	46	284	0	0	4	0	0	104	3	9	0	0	0	0	100	0	0	844	61
M00598_54_000000000-ABCWN_1_1101_10517_19563|gene_26S	3	0	0	0	5	0	0	0	0	439	10	0	0	4	0	0	0	0	0	1722	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_6051_5150|gene_26S	1692	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_7160_14771|gene_26S	0	0	0	1	1	24	0	1	75	517	153	0	0	302	1	2	0	1	0	0	103	0	29	10	1	17	227	93
M00598_54_000000000-ABCWN_1_1101_24648_5335|gene_26S	0	0	0	1630	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_16854_1922|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_23659_2046|gene_26S	108	64	88	471	46	128	104	142	251	57	13	16	99	22	210	51	52	47	103	44	147	166	77	103	135	78	14	55
M00598_54_000000000-ABCWN_1_1101_12658_20550|gene_26S	14	184	139	189	21	1	0	14	0	2	0	0	232	13	253	98	66	0	85	40	0	190	95	202	122	0	26	2
M00598_54_000000000-ABCWN_1_1105_18292_21071|gene_26S	0	0	1	48	0	2	0	0	241	0	8	14	0	0	1	625	0	2	0	0	0	0	0	0	0	543	0	0
M00598_54_000000000-ABCWN_1_2109_18176_18530|gene_26S	2	53	16	0	0	5	0	124	10	3	13	0	5	86	15	41	119	698	0	13	0	0	173	74	34	0	0	42
M00598_54_000000000-ABCWN_1_1103_22161_6756|gene_26S	956	44	53	209	28	25	0	18	1	0	9	0	36	0	18	31	205	0	49	52	9	47	2	0	72	0	0	5
M00598_54_000000000-ABCWN_1_1104_10144_15949|gene_26S	0	0	0	11	0	0	0	1516	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_27135_17748|gene_26S	13	54	18	155	4	1306	30	97	76	3	5	33	1	20	21	61	39	7	39	2	189	1	360	91	13	46	18	16
M00598_54_000000000-ABCWN_1_1102_23160_8169|gene_26S	0	145	0	67	70	5	0	0	253	41	182	27	1	507	146	123	317	61	604	401	0	23	7	45	3	0	209	6
M00598_54_000000000-ABCWN_1_1101_18281_9210|gene_26S	0	6	0	0	3	23	1	2	0	15	590	1	0	211	249	265	24	0	5	0	0	0	0	56	102	0	19	482
M00598_54_000000000-ABCWN_1_2105_25988_3867|gene_26S	0	21	3	0	1	1	0	0	3	55	15	0	0	46	289	0	12	0	79	0	0	4	1026	48	14	0	8	0
M00598_54_000000000-ABCWN_1_2101_19160_2756|gene_26S	4	23	278	232	0	33	0	20	22	29	14	0	0	11	90	62	22	14	5	67	0	0	37	94	4	26	183	173
M00598_54_000000000-ABCWN_1_2107_16344_8156|gene_26S	40	84	1145	287	5	497	0	646	295	78	71	402	102	64	81	99	113	223	21	43	2	16	34	50	58	857	168	4
M00598_54_000000000-ABCWN_1_1101_10095_3752|gene_26S	0	74	53	20	155	188	28	64	664	0	27	6	0	93	0	105	4	8	99	71	0	0	0	468	13	584	233	62
M00598_54_000000000-ABCWN_1_1105_15799_2461|gene_26S	0	195	0	35	4	0	0	0	0	156	0	0	0	50	818	0	0	0	58	0	0	0	0	12	0	0	124	0
M00598_54_000000000-ABCWN_1_1107_7568_17192|gene_26S	0	0	0	0	0	21	0	0	1	930	0	0	0	1581	160	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_18285_17049|gene_26S	122	97	86	1	0	102	0	179	57	0	0	143	193	147	18	131	1	11	4	595	0	48	123	114	79	153	1	0
M00598_54_000000000-ABCWN_1_1101_23537_10226|gene_26S	0	0	720	0	17	365	0	3	87	0	0	198	215	0	20	34	2	46	22	25	0	0	179	169	0	983	0	0
M00598_54_000000000-ABCWN_1_1101_11673_2393|gene_26S	115	5	6	1211	133	7	34	862	0	0	1	2	0	0	1	7	1435	0	2	260	4	7	3	0	54	9	0	0
M00598_54_000000000-ABCWN_1_1101_16099_7660|gene_26S	33	651	814	41	48	117	125	21	132	2	193	117	6	187	182	448	449	976	36	2276	0	787	1	339	497	222	377	55
M00598_54_000000000-ABCWN_1_1101_14791_3266|gene_26S	0	0	0	0	0	0	0	0	0	0	0	1542	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_17089_7549|gene_26S	79	0	9	80	305	92	80	45	169	0	0	62	359	9	658	23	13	2	4	3	0	1714	38	1	0	0	0	15
M00598_54_000000000-ABCWN_1_1101_17099_1990|gene_26S	0	1	0	0	0	241	0	51	253	1350	81	2	0	264	33	0	0	1	279	0	0	0	60	3	0	95	0	0
M00598_54_000000000-ABCWN_1_1101_12297_5150|gene_26S	568	166	121	206	0	136	169	46	86	0	0	2	106	0	0	167	81	197	0	821	0	152	7	0	185	17	0	12
M00598_54_000000000-ABCWN_1_1109_17937_3790|gene_26S	233	338	2	3	0	0	0	0	6	0	0	0	30	0	152	0	0	0	0	2	1	507	0	141	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_14647_2204|gene_26S	0	0	0	0	0	0	1010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0
M00598_54_000000000-ABCWN_1_1106_25646_16693|gene_26S	0	0	2	0	0	1101	0	0	0	0	0	42	0	0	0	0	0	4	0	0	0	0	0	0	0	73	0	0
