CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1101_12710_21616|gene_18S	6	8	1	0	0	4	0	1	2	7	15	0	1	0	0	7	2	0	0	0	0	0	2	0	0	2	0	0
M01895_13_000000000-ABYEE_1_2110_19133_17634|gene_18S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_21479_22759|gene_18S	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
M01895_13_000000000-ABYEE_1_2108_22090_9237|gene_18S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1110_9693_16845|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_21883_15545|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1103_4879_16331|gene_18S	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_11580_19082|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
M01895_13_000000000-ABYEE_1_2104_16619_22027|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2109_7610_14404|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_2108_21565_5193|gene_18S	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7
M01895_13_000000000-ABYEE_1_1109_17961_2377|gene_18S	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_21551_24430|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_18779_10276|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_2111_6630_17114|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2110_15571_9368|gene_18S	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2114_25309_7230|gene_18S	0	0	0	0	0	10	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_15769_22081|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_2108_13922_8193|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_19347_7821|gene_18S	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_18991_8045|gene_18S	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_11010_23003|gene_18S	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_14941_1496|gene_18S	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2107_22366_23958|gene_18S	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_5099_20307|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_11877_15845|gene_18S	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_2107_9645_8368|gene_18S	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_16156_9691|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_2107_7568_16983|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
M01895_13_000000000-ABYEE_1_2106_11650_24407|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
M01895_13_000000000-ABYEE_1_2106_17793_24081|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_2112_28628_13456|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2106_5050_7712|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_2114_10316_24194|gene_18S	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2105_14921_25476|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1104_16031_8842|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_23581_9999|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_13684_24714|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2113_10243_14793|gene_18S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1110_20471_17138|gene_18S	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_10704_10880|gene_18S	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2106_15145_21576|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4
M01895_13_000000000-ABYEE_1_1106_17604_18623|gene_18S	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_17954_15666|gene_18S	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_13322_11217|gene_18S	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2109_26681_16488|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_19260_24822|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_9434_4978|gene_18S	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2109_20165_18063|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_2114_9213_7872|gene_18S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_18112_6686|gene_18S	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_2109_19795_3660|gene_18S	0	1	3	0	1	0	4	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0
M01895_13_000000000-ABYEE_1_1105_7902_9067|gene_18S	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1105_10982_4268|gene_18S	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_20019_20104|gene_18S	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_13464_9149|gene_18S	0	2	0	20	34	1	214	1	0	0	123	4	1	26	0	11	0	2	0	0	0	1	33	3	0	6	4	4
M01895_13_000000000-ABYEE_1_1109_11374_3726|gene_18S	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_2101_15850_15344|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2106_6409_18184|gene_18S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
M01895_13_000000000-ABYEE_1_1103_13884_2134|gene_18S	0	0	0	0	0	3	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_12216_24373|gene_18S	0	0	0	0	1	53	0	0	1	0	5	14	9	0	0	1	0	0	0	0	1	0	2	0	1	1	2	1
M01895_13_000000000-ABYEE_1_1102_7516_23442|gene_18S	0	0	0	0	0	1	0	0	0	1	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2109_20354_12850|gene_18S	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_21833_22883|gene_18S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2113_13895_11821|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_20537_19650|gene_18S	0	1	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_20448_13898|gene_18S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_4218_10628|gene_18S	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_15870_16935|gene_18S	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_12438_22057|gene_18S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_5806_8299|gene_18S	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2112_5757_16442|gene_18S	0	0	0	0	0	284	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_8686_11383|gene_18S	0	2	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
M01895_13_000000000-ABYEE_1_2102_8907_21901|gene_18S	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2103_23708_6166|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_13078_23458|gene_18S	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_24764_15585|gene_18S	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M01895_13_000000000-ABYEE_1_1114_8568_16908|gene_18S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
M01895_13_000000000-ABYEE_1_2106_19608_22574|gene_18S	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_11786_26846|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1111_13022_24733|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_11204_10166|gene_18S	1	0	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_18452_7366|gene_18S	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_14014_18908|gene_18S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
M01895_13_000000000-ABYEE_1_1114_16698_12001|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
M01895_13_000000000-ABYEE_1_1111_13286_28595|gene_18S	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_7399_7076|gene_18S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_19542_24021|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1109_15562_16308|gene_18S	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1112_5589_7204|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1108_13337_19141|gene_18S	1	0	0	1	0	0	1	0	0	0	3	0	1	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1
M01895_13_000000000-ABYEE_1_1112_11415_4108|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_15223_3865|gene_18S	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_10448_14622|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_9142_16197|gene_18S	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_4852_17739|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_17750_6422|gene_18S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_5608_16243|gene_18S	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_20093_21375|gene_18S	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M01895_13_000000000-ABYEE_1_1106_8710_8379|gene_18S	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1105_14716_9359|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2102_20093_21891|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_19544_15615|gene_18S	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_9540_12002|gene_18S	2	0	0	0	2	0	0	0	0	0	0	3	5	0	0	0	1	0	1	0	0	1	1	0	1	0	2	2
M01895_13_000000000-ABYEE_1_2110_7140_21818|gene_18S	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2110_11310_23553|gene_18S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2110_5900_16549|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_8667_9941|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_21397_18351|gene_18S	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_6433_18757|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_2829_15518|gene_18S	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_5062_11192|gene_18S	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2110_21135_11606|gene_18S	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2107_4047_10671|gene_18S	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_2109_19792_3428|gene_18S	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_14312_23770|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M01895_13_000000000-ABYEE_1_1106_18695_23203|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1107_21091_11522|gene_18S	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1105_11940_16274|gene_18S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2113_15518_20086|gene_18S	0	14	9	0	0	0	0	1	0	0	0	0	3	0	0	8	2	0	0	2	0	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_2113_4648_11433|gene_18S	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01895_13_000000000-ABYEE_1_2104_19167_6279|gene_18S	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1
M01895_13_000000000-ABYEE_1_2104_5435_10625|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2
M01895_13_000000000-ABYEE_1_2111_21803_17005|gene_18S	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_15606_18832|gene_18S	0	0	0	5	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
M01895_13_000000000-ABYEE_1_1114_10691_14826|gene_18S	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_11655_25963|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2110_15352_4411|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2104_14727_5722|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_2104_19883_4420|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1112_7040_17828|gene_18S	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_9529_5169|gene_18S	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_13004_23003|gene_18S	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_14463_24912|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
M01895_13_000000000-ABYEE_1_1111_8196_10206|gene_18S	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_17993_5817|gene_18S	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_18765_5495|gene_18S	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1108_13237_14982|gene_18S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_19469_9479|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1107_19389_23932|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	5	0	2
M01895_13_000000000-ABYEE_1_1104_12708_20767|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
M01895_13_000000000-ABYEE_1_1108_22038_12902|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_10557_25044|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1110_11365_13873|gene_18S	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2102_18320_3190|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1110_15964_9595|gene_18S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_6311_8333|gene_18S	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_21746_21099|gene_18S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1108_13369_25628|gene_18S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1111_2447_15077|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
M01895_13_000000000-ABYEE_1_1114_2987_19004|gene_18S	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_15232_14665|gene_18S	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0
M01895_13_000000000-ABYEE_1_1113_24399_11978|gene_18S	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
M01895_13_000000000-ABYEE_1_1113_12139_14879|gene_18S	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_14296_15958|gene_18S	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
