CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1101_8205_13196|gene_18S	0	0	0	0	0	0	0	0	0	301	809	0	136	0	0	110	0	0	0	0	0	0	52	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1101_15185_19277|gene_18S	0	0	16	42	0	0	0	437	0	1	0	176	0	0	0	0	1	1124	0	2	0	0	2	0	2	0	22	1
M01895_13_000000000-ABYEE_1_1101_13766_4163|gene_18S	12	46	39	14	69	4	54	7	795	36	76	247	515	70	64	154	0	11	28	13	1	7	35	0	57	804	122	131
M01895_13_000000000-ABYEE_1_1101_10511_2902|gene_18S	1	54	2	1	0	1403	13	417	0	0	3	0	0	6	0	5	0	0	0	7	23	7	0	0	0	0	12	1
M01895_13_000000000-ABYEE_1_1101_12999_17847|gene_18S	195	123	81	27	65	9	134	68	8	37	60	151	49	0	119	152	81	461	92	290	54	179	58	181	1	368	250	72
M01895_13_000000000-ABYEE_1_1101_16992_1709|gene_18S	0	4	0	0	0	78	1412	3	0	1	11	0	0	0	0	0	0	0	0	3	0	1	2	129	0	0	5	2
M01895_13_000000000-ABYEE_1_2112_22819_7631|gene_18S	4	0	9	17	0	0	341	7	352	14	16	44	0	54	8	0	0	74	0	0	61	118	26	0	4	225	17	238
M01895_13_000000000-ABYEE_1_1101_8371_8634|gene_18S	65	119	43	7	152	63	10	47	39	46	137	17	1109	6	10	76	10	33	14	49	63	90	44	15	11	77	89	20
M01895_13_000000000-ABYEE_1_1105_9462_22458|gene_18S	0	0	0	14	0	1	0	0	0	0	239	0	710	3	0	180	0	0	0	0	0	0	4	127	0	0	0	0
M01895_13_000000000-ABYEE_1_2114_9065_11736|gene_18S	80	63	117	61	18	69	62	51	67	332	136	63	132	22	111	192	381	178	2	51	19	151	183	56	13	586	454	139
M01895_13_000000000-ABYEE_1_2103_21636_14371|gene_18S	5	21	68	40	52	0	38	35	13	3	1	23	284	4	95	28	24	63	109	10	119	145	36	0	28	254	115	151
M01895_13_000000000-ABYEE_1_1108_15922_17487|gene_18S	27	3	32	41	3	26	123	158	173	430	55	28	17	38	86	13	61	46	15	4	41	7	33	2	51	27	49	73
M01895_13_000000000-ABYEE_1_1110_5312_11752|gene_18S	0	11	2	2	408	2	12	28	0	8	13	5	13	0	1	31	5	70	0	6	75	153	15	16	0	401	7	1
M01895_13_000000000-ABYEE_1_2101_26393_16445|gene_18S	0	2	2	16	2	1	0	0	7	36	9	0	1396	1	0	0	0	46	0	2	0	0	14	4	2	125	0	1
M01895_13_000000000-ABYEE_1_2111_19529_10846|gene_18S	7	101	56	1	3	106	160	17	0	158	164	46	14	37	0	47	22	6	1	24	46	0	33	42	0	208	24	15
M01895_13_000000000-ABYEE_1_1102_13938_18664|gene_18S	2	2	10	4	35	9	10	795	46	29	30	21	3	0	7	2	2	151	0	9	45	19	6	122	8	11	33	43
M01895_13_000000000-ABYEE_1_1109_12507_12350|gene_18S	15	0	6	19	26	0	0	43	9	0	0	23	1003	0	0	0	0	18	0	0	0	4	0	0	12	0	101	85
M01895_13_000000000-ABYEE_1_1101_15142_20278|gene_18S	3	22	2	7	11	188	8	11	1	48	982	2	11	1	10	46	1	0	1	7	4	22	36	45	0	14	67	66
M01895_13_000000000-ABYEE_1_1110_19008_26187|gene_18S	6	86	10	42	0	203	224	1	0	31	135	3	1	3	0	206	0	0	0	47	14	0	72	1	0	4	0	0
M01895_13_000000000-ABYEE_1_1102_12202_22075|gene_18S	84	218	104	38	15	311	92	127	105	236	513	17	61	56	12	95	23	64	7	75	94	121	59	179	7	72	75	49
M01895_13_000000000-ABYEE_1_1101_19189_5260|gene_18S	0	1481	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2103_28223_10539|gene_18S	3	8	43	24	18	211	48	69	6	8	17	82	111	10	0	0	1	147	0	103	48	0	38	6	17	17	2	78
