OTU_id	CM30c60-A	CM30c37-L	CM30c28-N	CM30c28-P	CM30c60-B	Plot04-A	Plot08-I	CM30b58-C	CM30c30-L	CM30b60-M	Plot03-N	LB5-A	CM30c53-I	CM30c62-D	Plot07-N	CM30c37-E	Plot07-M	Plot05-I	CM30c39-A	LB1-E	CM30c30-N	CM30c62-M	CM30d12-L	Plot03-H	CM30c44-B	CM30c39-E	LB1-A	CM30c51-H	Plot08-O	CM30c35-D	CM30b60-E	CM30c-O	CM30c46-O	CM30b51-B	CM30b58-I	CM30d12-H	LB5-I	CM30c44-C	CM30d3-D	CM30d3-L	CM30c51-I	CM31a5-B	Plot05-N	Plot01-B	CM31a5-A	Plot04-N	CM30c53-B	CM30c35-B	Plot06-N	Plot06-I	Plot02-C	Plot01-L	CM30c46-D	Plot02-M	CM30c-P	CM30b51-M
M01895_13_000000000-ABYEE_1_1108_17373_20353|gene_ITS	0	0	0	0	0	0	0	2	0	0	0	3	1304	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	9325	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	1	2	0	3
M01895_13_000000000-ABYEE_1_1101_24539_6555|gene_ITS	1107	141	2	0	1111	0	0	0	0	359	1	2	5	0	1	922	0	0	37	23	8	0	32	3	2	1	8	584	0	3	440	0	4	6	0	0	2	97	841	1	96	0	0	101	0	0	6	1	3955	3766	1	0	5	0	0	4
M01895_13_000000000-ABYEE_1_1101_10044_25378|gene_ITS	0	0	0	0	0	0	0	0	0	125	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	12	0	4593	2	0	0	3	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	19159
M01895_13_000000000-ABYEE_1_2111_18597_20190|gene_ITS	60	0	20	0	0	2	0	0	0	0	3	18	0	0	0	0	0	0	0	0	0	0	568	0	0	3	0	0	0	0	0	0	6	30	0	0	0	0	1	16	1	0	1	0	0	1	12	10	3	24562	4	2	0	0	0	15
M01895_13_000000000-ABYEE_1_1101_17670_2157|gene_ITS	0	0	0	0	0	0	0	0	0	0	0	19181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	2	3	0	5	1	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1101_15352_2698|gene_ITS	348	83	0	0	547	0	0	0	0	1101	8	0	0	0	1076	1099	772	0	0	77	0	0	1151	510	0	0	0	0	0	300	430	0	3	288	4	0	0	0	133	12	6	0	4324	0	0	0	0	3	21	11	0	1	0	15	1	1
M01895_13_000000000-ABYEE_1_1101_15411_3773|gene_ITS	0	1125	1	0	1	3	12965	0	3	1	1	0	0	2	3	0	0	7	2	0	0	0	1	0	0	0	0	6	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
M01895_13_000000000-ABYEE_1_1101_23674_10852|gene_ITS	0	84	0	0	0	0	0	0	0	15	91	1	2	0	0	3	43	0	0	3	0	0	3	2192	0	0	0	0	0	3025	0	0	1	964	0	0	6	2	532	5	1	1	5706	0	0	0	1	845	2	0	0	0	18	0	5	0
M01895_13_000000000-ABYEE_1_1101_16989_1681|gene_ITS	2	1	0	3	10212	0	0	3	176	0	1	0	0	1	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0
M01895_13_000000000-ABYEE_1_2106_6339_17443|gene_ITS	3	0	0	2	6598	0	0	0	5	0	2	2	0	0	0	2	0	0	0	0	21	2	2	0	0	4094	0	16	0	0	1	0	0	0	0	0	0	1	5	0	1486	2636	0	0	20	2	0	0	0	0	0	0	0	0	5	0
