OTU_id	CM30c28-P	Plot05-I	CM30c46-O	CM30b58-I	CM30c60-B	LB5-I	CM31a5-A	CM30c-O	Plot05-N	CM30d3-D	CM30c44-C	CM30c39-E	CM30c30-L	CM30c53-I	CM30b60-M	CM30c39-A	CM30b51-B	CM30d12-H	CM30c53-B	CM30c30-N	Plot03-N	CM30d12-L	Plot08-I	Plot06-I	Plot02-C	Plot03-H	Plot01-L	CM30c35-D	Plot08-O	LB5-A	CM30c60-A	Plot04-N	CM30b60-E	CM30c28-N	CM30c37-L	CM30c62-D	CM31a5-B	CM30c37-E	CM30c44-B	CM30d3-L	Plot01-B	LB1-E	Plot02-M	CM30b51-M	Plot07-M	LB1-A	CM30c-P	Plot06-N	CM30c46-D	Plot07-N	CM30c51-I	CM30c35-B	Plot04-A	CM30c51-H	CM30b58-C	CM30c62-M
M00598_54_000000000-ABCWN_1_1102_8900_9658|gene_26S	0	0	0	0	0	0	1	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	156	0	0	0	0	0	0	0	1	148	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	4596	0
M00598_54_000000000-ABCWN_1_1101_19747_2407|gene_26S	0	0	4580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_17368_2783|gene_26S	0	0	0	3464	285	0	0	0	0	0	0	0	217	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	335	0	0	0	1	1273	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_10435_6501|gene_26S	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	112	0	0	16	0	0	0	0	0	0	0	0	0	54	0	0	1	0	0	0	0	0	0	0	1	1990	0	0	0	21	0	0	0	0	0	0	0	2181	0	0
M00598_54_000000000-ABCWN_1_1101_21175_7274|gene_26S	0	0	5	0	91	0	0	0	849	265	45	0	0	0	368	1037	143	0	0	26	0	551	0	1	0	202	0	49	1	0	66	0	335	0	214	0	0	717	0	191	0	14	15	0	508	7	1	44	0	544	0	0	0	19	0	0
M00598_54_000000000-ABCWN_1_1101_18773_3772|gene_26S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	8997	0	0	0	0	1	0	0	6	0	0	0	0	2525	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_20601_3706|gene_26S	1718	15	14	0	78	2	2626	617	21	26	0	7	1	74	0	0	3	389	52	69	19	175	892	1	62	4	0	0	94	6	2	45	2	444	1	52	404	28	0	377	0	5	573	133	1	1	169	4	2	0	13	18	0	31	36	164
M00598_54_000000000-ABCWN_1_1110_11316_19359|gene_26S	0	1	0	0	0	0	0	0	0	0	0	0	2262	0	0	0	0	8	0	136	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1064	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_14169_15742|gene_26S	2	184	0	95	3	0	195	483	179	0	0	0	0	0	1	0	0	0	0	0	24	0	0	0	4599	3	84	200	0	0	0	0	0	12	0	54	99	0	0	0	34	0	564	0	0	0	225	16	0	0	19	58	0	151	138	354
M00598_54_000000000-ABCWN_1_1101_11323_2714|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
