CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1101_19729_4692|gene_16S	4	9	171	2	68	220	66	1	1	5	89	22	321	132	137	29	28	91	398	151	47	67	0	3	0	143	41	104
M00598_54_000000000-ABCWN_1_1101_11981_15900|gene_16S	1	64	398	109	271	915	887	3	496	70	212	138	1122	353	758	370	97	298	1941	306	228	280	422	129	5	273	315	127
M00598_54_000000000-ABCWN_1_1101_23980_17600|gene_16S	259	128	97	510	434	512	10	59	455	415	348	185	7	148	73	284	192	265	110	138	22	179	429	1060	196	177	134	30
M00598_54_000000000-ABCWN_1_1107_18049_10365|gene_16S	1	7	241	2	177	160	68	0	4	0	10	1	153	214	172	89	173	42	275	2	63	28	7	2	1	87	68	69
M00598_54_000000000-ABCWN_1_1106_12473_12442|gene_16S	14	103	10	125	117	27	4	25	354	78	165	80	0	165	24	122	96	82	43	12	9	109	190	110	46	18	85	171
M00598_54_000000000-ABCWN_1_1109_14298_13619|gene_16S	144	10	0	95	115	7	1	190	0	146	12	29	0	6	0	77	10	117	7	455	63	119	45	230	159	7	0	4
M00598_54_000000000-ABCWN_1_1101_5491_10784|gene_16S	400	266	114	578	555	354	87	511	826	980	783	360	108	521	192	447	208	603	208	547	143	430	496	473	294	409	240	209
M00598_54_000000000-ABCWN_1_1102_25208_5033|gene_16S	1	3	518	2	78	367	266	7	1	0	6	47	549	102	636	64	41	167	754	265	75	166	1	4	1	211	11	22
M00598_54_000000000-ABCWN_1_1106_17136_11681|gene_16S	52	28	189	317	239	628	19	44	475	240	68	311	60	245	118	304	67	155	216	86	39	225	284	716	109	217	124	53
M00598_54_000000000-ABCWN_1_1101_16434_18441|gene_16S	17	23	213	198	351	373	114	53	30	163	86	297	110	302	182	279	67	323	163	324	34	233	173	65	3	307	61	41
