Subplot	Plot	Latitude	Longitude	Elevation	Slope	Slope_aspect_deg	Slope_aspect_rad	Northness	Eastness	Physiography	Elev.group	ForestType	Forest.code	pH	EC	Organic-C	Total-N	C/N-ratio	NO3-N	NH4-N	Olsen-P	mean_T_surface	mean_T_10cm	mean_T_surface_12pm	mean_T_10cm_12pm
CM31a5-A	CM31a5	-36.2232163	175.0666701	70	8	90	1.570796327	0.0000000000	1.0000000000	Face	Lower	VS2: Kanuka scrub/forest	VS2	4.76	0.129762	11.000456	0.505586	21.757837	0.30659	8.392206	7.634026	15.66986676	15.6726255	17.22332873	15.80516298
CM31a5-B	CM31a5	-36.2232163	175.0666701	70	8	90	1.570796327	0.0000000000	1.0000000000	Face	Lower	VS2: Kanuka scrub/forest	VS2	5.03	0.098463	5.580828	0.298471	18.698042	0.563273	4.601836	4.562683	15.66986676	15.6726255	17.22332873	15.80516298
LB1-A	LB1	-36.19918691	175.0754355	630	40	336	5.864306287	0.9135454576	-0.4067366431	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	4.28	0.281093	41.9	1.696667	24.695481	2.40548	8.260876	7.74	14.93433763	11.88314625	15.00409063	11.78543302
LB1-E	LB1	-36.19918691	175.0754355	630	40	336	5.864306287	0.9135454576	-0.4067366431	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	4.72	0.292314	35.876099	1.941753	18.476136	45.867768	4.211094	2.306879	14.93433763	11.88314625	15.00409063	11.78543302
LB5-A	LB5	-36.19332887	175.0914276	634	18	80	1.396263402	0.1736481777	0.9848077530	Ridge	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	3.29	0.261435	54.218287	0.748303	72.454999	2.010591	13.51094	13.57155	11.96236877	NA	12.15096409	NA
LB5-I	LB5	-36.19332887	175.0914276	634	18	80	1.396263402	0.1736481777	0.9848077530	Ridge	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	4.54	0.305074	24.213902	1.255457	19.286927	4.01989	31.10221	5.914928	11.96236877	NA	12.15096409	NA
Plot01-B	Plot01	-36.22465404	175.0698348	50	18	270	4.71238898	0.0000000000	-1.0000000000	Face	Lower	VS2: Kanuka scrub/forest	VS2	5.65	0.143269	6.196535	0.365748	16.942102	2.388935	12.468518	53.217422	15.28325213	15.03652818	15.57149691	15.12723457
Plot01-L	Plot01	-36.22465404	175.0698348	50	18	270	4.71238898	0.0000000000	-1.0000000000	Face	Lower	VS2: Kanuka scrub/forest	VS2	6.13	0.154679	8.973518	0.494605	18.142797	11.64916	10.066012	44.085709	15.28325213	15.03652818	15.57149691	15.12723457
Plot02-C	Plot02	-36.21832519	175.0703615	90	30	60	1.047197551	0.5000000000	0.8660254038	Face	Lower	WF11: Kauri, podocarp, broadleaved forest	WF11	5.29	0.055083	2.894013	0.174764	16.559579	0.6411	2.199853	1.480183	15.06778035	15.14729979	16.28328177	15.32136188
Plot02-M	Plot02	-36.21832519	175.0703615	90	30	60	1.047197551	0.5000000000	0.8660254038	Face	Lower	WF11: Kauri, podocarp, broadleaved forest	WF11	4.95	0.101092	5.058117	0.297397	17.007983	0.588388	2.112703	1.971634	15.06778035	15.14729979	16.28328177	15.32136188
Plot03-H	Plot03	-36.21677479	175.0736421	160	36	120	2.094395102	-0.5000000000	0.8660254038	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	5.69	0.085211	4.92686	0.218789	22.518762	0.500503	1.55807	1.836926	14.70864546	14.18875251	15.036	14.17096961
Plot03-N	Plot03	-36.21677479	175.0736421	160	36	120	2.094395102	-0.5000000000	0.8660254038	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	5.23	0.168585	12.954148	0.569194	22.758746	0.512171	4.237148	3.84787	14.70864546	14.18875251	15.036	14.17096961
Plot04-A	Plot04	-36.21286308	175.0745618	260	40	260	4.537856055	-0.1736481777	-0.9848077530	Face	Mid	WF9: Taraire, tawa, podocarp forest	WF9	6.49	0.652851	43.444816	1.983423	21.903955	1.37825	13.427585	39.63485	13.88410961	13.60351189	13.71091436	13.44251657
Plot04-N	Plot04	-36.21286308	175.0745618	260	40	260	4.537856055	-0.1736481777	-0.9848077530	Face	Mid	WF9: Taraire, tawa, podocarp forest	WF9	5.34	0.447135	17.861498	0.569614	31.357196	0.587015	6.399489	18.6367	13.88410961	13.60351189	13.71091436	13.44251657
Plot05-I	Plot05	-36.21538985	175.0753478	240	23	190	3.316125579	-0.9848077530	-0.1736481777	Face	Mid	VS5: Broadleaved species scrub/forest	VS5	5.25	0.206862	10.38639	0.542666	19.139579	0.636368	5.719799	6.900049	12.79066752	13.86271939	13.03422742	13.77732044
Plot05-N	Plot05	-36.21538985	175.0753478	240	23	190	3.316125579	-0.9848077530	-0.1736481777	Face	Mid	VS5: Broadleaved species scrub/forest	VS5	5.84	0.107253	7.983237	0.327921	24.344978	0.51613	3.318751	3.876549	12.79066752	13.86271939	13.03422742	13.77732044
Plot06-I	Plot06	-36.2135126	175.0759379	320	20	210	3.665191429	-0.8660254038	-0.5000000000	Face	Upper	WF9: Taraire, tawa, podocarp forest	WF9	5.59	0.122291	6.52144	0.387467	16.830949	1.595283	4.999191	7.771931	13.09613055	13.11348329	13.09974586	13.01924654
Plot06-N	Plot06	-36.2135126	175.0759379	320	20	210	3.665191429	-0.8660254038	-0.5000000000	Face	Upper	WF9: Taraire, tawa, podocarp forest	WF9	5.63	0.121254	6.258581	0.380663	16.441272	2.838841	3.88317	9.690904	13.09613055	13.11348329	13.09974586	13.01924654
Plot07-M	Plot07	-36.21177994	175.0788458	420	26	180	3.141592654	-1.0000000000	0.0000000000	Face	Upper	VS5: Broadleaved species scrub/forest	VS5	5.62	0.071143	4.254723	0.296467	14.351435	3.140506	1.488896	3.373834	12.41123055	12.91753637	12.63234769	12.85073846
Plot07-N	Plot07	-36.21177994	175.0788458	420	26	180	3.141592654	-1.0000000000	0.0000000000	Face	Upper	VS5: Broadleaved species scrub/forest	VS5	5.6	0.072152	4.294013	0.305735	14.044906	3.082681	1.263655	3.616766	12.41123055	12.91753637	12.63234769	12.85073846
Plot08-I	Plot08	-36.21004661	175.0789839	460	34	280	4.886921906	0.1736481777	-0.9848077530	Face	Upper	VS5: Broadleaved species scrub/forest	VS5	4.52	0.506712	50.721495	1.881142	26.963136	0.835111	9.535769	34.089512	15.05726867	13.84816311	15.24719385	13.81065538
Plot08-O	Plot08	-36.21004661	175.0789839	460	34	280	4.886921906	0.1736481777	-0.9848077530	Face	Upper	VS5: Broadleaved species scrub/forest	VS5	5.19	0.119754	9.865213	0.390784	25.244681	0.641485	2.047524	1.373979	15.05726867	13.84816311	15.24719385	13.81065538
