,CM30B,CM30B44,CM30B58,CM30B60,CM30C,CM30C28,CM30C30,CM30C35,CM30C37,CM30C39,CM30C44,CM30C46,CM30C51,CM30C53,CM30C58,CM30C60,CM30C62,CM30D12,CM30D3,CM31A5,LB1,LB5,Plot01,Plot02,Plot03,Plot04,Plot05,Plot06,Plot07,Plot08
NESMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NOTTRU,0,0,17,0,6,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
OLEFUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OLERAN,0,0,4,4,5,3,1,0,0,1,0,4,0,0,0,0,1,11,14,0,2,4,0,2,2,0,5,0,1,6
PHYTRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0
PITTEN,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PITUMB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,1,0,0,0
PRUFER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
PSEARB,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,2,1,3,0,4,0,0,0,0
PSEAXI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSEDIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUISER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
RAUEDG,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOSAP,10,0,0,9,0,0,0,0,6,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0
SCHDIG,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TORTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VITLUC,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEISIL,0,0,0,0,0,0,13,0,0,1,0,2,0,0,0,0,0,0,9,0,22,13,0,0,0,0,0,0,5,10
